,id,rank,name,position_id,position_name,level
1116,375,1117,Wer1noX,10,fw,1.0
1117,631,1118,Miquel,10,fw,1.0
1118,1399,1119,123shish,10,fw,1.0
1119,120,1120,RONALPASTABASE,10,fw,1.0
1120,376,1121,xaz,10,fw,1.0
1121,632,1122,Ozewww,20,mf,1.0
1122,888,1123,Iguin,10,fw,1.0
1123,1144,1124,Lupe,30,df,1.0
1124,1400,1125,River,10,fw,1.0
1125,121,1126,darkan,10,fw,1.0
1126,1401,1127,Papu82,10,fw,1.0
1127,122,1128,Yaku,30,df,1.0
1128,634,1129,cristian,20,mf,1.0
1129,890,1130,rthghgy,20,mf,1.0
1130,635,1131,sussolini,10,fw,1.0
1131,891,1132,MasonMount,20,mf,1.0
1132,1147,1133,pato,10,fw,1.0
1133,1403,1134,SSCB,10,fw,1.0
1134,380,1135,Elijah,20,mf,1.0
1135,636,1136,milad,10,fw,1.0
1136,892,1137,Moj.,10,fw,1.0
1137,1148,1138,Miago,30,df,1.0
1138,1404,1139,mgothman,10,fw,1.0
1139,381,1140,MARTRANZA,10,fw,1.0
1140,637,1141,stevets,10,fw,1.0
1141,893,1142,WOLF,20,mf,1.0
1142,1149,1143,PPhoenix,20,mf,1.0
1143,1405,1144,Wolker,10,fw,1.0
1144,382,1145,Joaquin,20,mf,1.0
1145,638,1146,AfpS,10,fw,1.0
1146,894,1147,Ragler,20,mf,1.0
1147,1150,1148,Boi,10,fw,1.0
1148,895,1149,PrincipePyrex,10,fw,1.0
1149,1151,1150,sKFulll,10,fw,1.0
1150,1407,1151,G3LiK,10,fw,1.0
1151,640,1152,AhmetX,10,fw,1.0
1152,896,1153,ERK,10,fw,1.0
1153,1152,1154,Miggs,10,fw,1.0
1154,1408,1155,EBOla,10,fw,1.0
1155,385,1156,LouMuo,10,fw,1.0
1156,641,1157,Thanatos,20,mf,1.0
1157,897,1158,Tomei,10,fw,1.0
1158,1153,1159,ixtvx_gol,10,fw,1.0
1159,1409,1160,Khadian,30,df,1.0
1160,130,1161,VQmember,10,fw,1.0
1161,386,1162,Gabigol,20,mf,1.0
1162,898,1163,Rocky,10,fw,1.0
1163,1154,1164,balotelis,10,fw,1.0
1164,1410,1165,darius,10,fw,1.0
1165,131,1166,Stylish,20,mf,1.0
1166,387,1167,FredGoll77,10,fw,1.0
1167,643,1168,thanh,10,fw,1.0
1168,899,1169,rodrogas,20,mf,1.0
1169,1411,1170,ibrakadabra,10,fw,1.0
1170,388,1171,Yodinha,10,fw,1.0
1171,900,1172,Joselito13,10,fw,1.0
1172,1156,1173,Orphen,10,fw,1.0
1173,1412,1174,bjaaarneee,10,fw,1.0
1174,389,1175,ErAzOr,10,fw,1.0
1175,645,1176,cam,10,fw,1.0
1176,1157,1177,Jurubinha.,20,mf,1.0
1177,1413,1178,Popeye,30,df,1.0
1178,390,1179,choho,10,fw,1.0
1179,902,1180,DarkMeme,20,mf,1.0
1180,1158,1181,jae,10,fw,1.0
1181,1414,1182,Vlahovic,10,fw,1.0
1182,391,1183,Rivlado,20,mf,1.0
1183,647,1184,niggaballs,10,fw,1.0
1184,903,1185,XicoBr,10,fw,1.0
1185,1159,1186,hector,10,fw,1.0
1186,1415,1187,dawq34344,10,fw,1.0
